TICKER,date,SICCD,COMNAM,market_cap,SHROUT,VOL,PRC,ASKHI,BIDLO,total,negative,positive,sprtrn,RET,next_month_return,last_month_return,last_month_volume,1_month_ma,2_month_ma,3_month_ma,proper?,Ask_minus_Bid,comp_size,dummy_negative,dummy_positive,dummy_total
ABC,2023-07-31,5122.0,AMERISOURCEBERGEN CORP,38655618.482767,202466.0,1160084.8,190.92399949999998,194.78999,184.03999,3.0,0.0,0.0,0.031138922990452178,-0.02873596238399112,-0.03452900770192102,0.1309410814824692,1346323.6666666667,190.92399949999998,186.47509451190473,181.07521452308802,True,10.75,6,0,0,1
ABC,2023-08-31,5122.0,AMERISOURCEBERGEN CORP,37235136.60330095,202466.0,2447411.523809524,183.9080961904762,194.37,177.14999,9.0,0.0,3.0,-0.019902615016131997,-0.03452900770192102,,-0.02873596238399112,1160084.8,183.9080961904762,187.4160478452381,185.61942840476192,False,17.220010000000002,6,0,1,1
ABNB,2023-01-31,9999.0,AIRBNB INC,40461972.0,408000.0,5269944.4,99.17150000000001,117.12,84.3,2.0,0.0,0.0,0.06175077573839571,0.2995340348309241,0.10953138823844921,,,99.17150000000001,,,False,32.82000000000001,6,0,0,1
ABNB,2023-02-28,9999.0,AIRBNB INC,50046596.328421056,408830.3157894737,8573237.47368421,122.41263157894737,144.63,106.5383,9.0,0.0,0.0,-0.02611363977213843,0.10953138823844921,0.009086291207627273,0.2995340348309241,5269944.4,122.41263157894737,110.7920657894737,,False,38.09169999999999,7,0,0,1
ABNB,2023-03-31,9999.0,AIRBNB INC,49263458.96347827,409061.5652173913,4805162.0,120.4291304347826,130.85001,111.51,0.0,0.0,0.0,0.03505299660820427,0.009086291207627273,-0.03802247941611803,0.10953138823844921,8573237.47368421,120.4291304347826,121.42088100686499,114.00442067124334,False,19.340009999999992,7,0,0,0
ABNB,2023-04-30,9999.0,AIRBNB INC,47726427.63236842,412295.36842105264,5089268.2105263155,115.75815789473685,123.09,107.66,7.0,0.0,0.0,0.014642652863053884,-0.03802247941611803,-0.08272641351471777,0.009086291207627273,4805162.0,115.75815789473685,118.09364416475972,119.53330663615561,False,15.430000000000007,7,0,0,1
ABNB,2023-05-31,9999.0,AIRBNB INC,46295028.97159091,412407.0,8501407.181818182,112.25568181818181,128.96001,103.55,6.0,0.0,1.0,0.002482705725674217,-0.08272641351471777,0.16753272831653265,-0.03802247941611803,5089268.2105263155,112.25568181818181,114.00691985645933,116.14765671590044,False,25.410010000000014,6,0,1,1
ABNB,2023-06-30,9999.0,AIRBNB INC,50780481.442187145,412863.8095238095,5732679.714285715,122.98999952380953,131.88,109.11,1.0,0.0,1.0,0.06472687309789893,0.16753272831653265,0.18749882246185656,-0.08272641351471777,8501407.181818182,122.98999952380953,117.62284067099567,117.00127974557607,True,22.769999999999996,7,0,1,1
ABNB,2023-07-31,9999.0,AIRBNB INC,60240350.3873205,423525.65,5218801.85,142.2077505,154.95,126.06,4.0,0.0,0.0,0.031138922990452178,0.18749882246185656,-0.13561890786130582,0.16753272831653265,5732679.714285715,142.2077505,132.59887501190477,125.81781061399711,True,28.889999999999986,7,0,0,1
ABNB,2023-08-31,9999.0,AIRBNB INC,56725118.71385174,426359.0,4692190.565217392,133.0454352173913,150.4196,123.38,11.0,0.0,0.0,-0.017717116734410787,-0.13561890786130582,0.043027018455121135,0.18749882246185656,5218801.85,133.0454352173913,137.62659285869563,132.7477284137336,False,27.039600000000007,7,0,0,1
ABNB,2023-09-30,9999.0,AIRBNB INC,59616198.02075,426791.05,10374458.55,139.6872505,151.155,130.8,2.0,0.0,1.0,-0.048719958330245894,0.043027018455121135,-0.13789062432963106,-0.13561890786130582,4692190.565217392,139.6872505,136.36634285869565,138.31347873913043,False,20.35499999999999,7,0,1,1
ABNB,2023-10-31,9999.0,AIRBNB INC,53725222.34318182,434907.2727272727,4904361.590909091,123.53136363636364,138.0,113.235,3.0,0.0,0.0,-0.021980107591409892,-0.13789062432963106,0.06805298999528886,0.043027018455121135,10374458.55,123.53136363636364,131.6093070681818,132.08801645125163,False,24.765,7,0,0,1
ABNB,2023-11-30,9999.0,AIRBNB INC,53807146.52142857,434745.0,5806453.0,123.76714285714286,131.62,114.1,7.0,0.0,0.0,0.0891784857429756,0.06805298999528886,0.0775691008033077,-0.13789062432963106,4904361.590909091,123.76714285714286,123.64925324675325,128.9952523311688,False,17.52000000000001,7,0,0,1
ABNB,2023-12-31,9999.0,AIRBNB INC,61013634.907500006,434745.0,5148001.5,140.3435,149.92,125.4,2.0,0.0,0.0,0.044229197270271525,0.0775691008033077,,0.06805298999528886,5806453.0,140.3435,132.05532142857143,129.21400216450218,True,24.519999999999982,7,0,0,1
ABT,2023-01-31,6719.0,ABBOTT LABORATORIES,194964701.106,1743574.0,5138428.75,111.819,115.69,108.75,10.0,0.0,2.0,0.06175077573839571,0.011536295398677954,-0.07987401367048463,,,111.819,,,False,6.939999999999998,9,0,1,1
ABT,2023-02-28,6719.0,ABBOTT LABORATORIES,186417578.6494737,1743277.7894736843,4665573.052631579,106.9342105263158,112.41,99.66,2.0,0.0,0.0,-0.02611363977213843,-0.07987401367048463,-0.004525502992491104,0.011536295398677954,5138428.75,106.9342105263158,109.3766052631579,,False,12.75,9,0,0,1
ABT,2023-03-31,6719.0,ABBOTT LABORATORIES,172140528.78521737,1737946.0,5620250.043478261,99.04826086956523,104.6,96.39,10.0,0.0,2.0,0.03505299660820427,-0.004525502992491104,0.09632424995758537,-0.07987401367048463,4665573.052631579,99.04826086956523,102.99123569794051,105.93382379862702,False,8.209999999999994,9,0,1,1
ABT,2023-04-30,6719.0,ABBOTT LABORATORIES,185018987.03473684,1737946.0,5869831.315789473,106.45842105263158,112.7,100.04,9.0,0.0,2.0,0.014642652863053884,0.09632424995758537,-0.0766731688194765,-0.004525502992491104,5620250.043478261,106.45842105263158,102.7533409610984,104.1469641495042,False,12.659999999999997,9,0,1,1
ABT,2023-05-31,2834.0,ABBOTT LABORATORIES,188103326.55545455,1737991.5,4190485.727272727,108.23045454545455,112.95,100.3797,8.0,0.0,1.0,0.002482705725674217,-0.0766731688194765,0.06882258240296601,0.09632424995758537,5869831.315789473,108.23045454545455,107.34443779904306,104.57904548921711,True,12.570300000000003,9,0,1,1
ABT,2023-06-30,2834.0,ABBOTT LABORATORIES,182597715.7,1738947.0,5174786.904761905,105.0047619047619,109.34,100.54,7.0,0.0,1.0,0.06472687309789893,0.06882258240296601,0.026022292879226416,-0.0766731688194765,4190485.727272727,105.0047619047619,106.61760822510823,106.56454583428267,False,8.799999999999997,9,0,1,1
ABT,2023-07-31,2834.0,ABBOTT LABORATORIES,190490340.6945,1738947.0,4865482.2,109.5435,115.83,105.96,7.0,0.0,0.0,0.031138922990452178,0.026022292879226416,-0.07571958323379335,0.06882258240296601,5174786.904761905,109.5435,107.27413095238094,107.59290548340549,False,9.870000000000005,9,0,0,1
ABT,2023-08-31,2834.0,ABBOTT LABORATORIES,183254591.71173912,1738790.956521739,4185774.6086956523,105.39173913043479,111.25,101.885,0.0,0.0,0.0,-0.017717116734410787,-0.07571958323379335,-0.058792979587792615,0.026022292879226416,4865482.2,105.39173913043479,107.46761956521739,106.64666701173223,False,9.364999999999995,9,0,0,0
ABT,2023-09-30,2834.0,ABBOTT LABORATORIES,173696320.615,1735358.0,4405968.7,100.0925,103.789,94.76,12.0,0.0,6.0,-0.048719958330245894,-0.058792979587792615,-0.018226769940421494,-0.07571958323379335,4185774.6086956523,100.0925,102.7421195652174,105.00924637681159,False,9.028999999999996,9,0,1,1
ABT,2023-10-31,2834.0,ABBOTT LABORATORIES,163984231.80818182,1735358.0,7002706.590909091,94.49590909090908,98.49,89.674,9.0,0.0,1.0,-0.021980107591409892,-0.018226769940421494,0.1030136119677143,-0.058792979587792615,4405968.7,94.49590909090908,97.29420454545453,99.99338274044796,False,8.815999999999988,9,0,1,1
ABT,2023-11-30,2834.0,ABBOTT LABORATORIES,171136223.65,1735391.380952381,6062729.523809524,98.6152380952381,104.72,92.43,8.0,0.0,4.0,0.0891784857429756,0.1030136119677143,0.055420788732231996,-0.018226769940421494,7002706.590909091,98.6152380952381,96.55557359307359,97.73454906204906,False,12.289999999999992,9,0,1,1
ABT,2023-12-31,2834.0,ABBOTT LABORATORIES,186178439.278,1736059.0,4850530.0,107.242,110.73,103.88,4.0,0.0,0.0,0.044229197270271525,0.055420788732231996,,0.1030136119677143,6062729.523809524,107.242,102.92861904761905,100.11771572871572,True,6.8500000000000085,9,0,0,1
ACI,2023-01-31,5411.0,ALBERTSONS COMPANIES INC,11279346.274,535098.55,2528701.75,21.079,21.6,20.65,6.0,0.0,1.0,0.06175077573839571,0.02801062271299415,-0.0622646423755403,,,21.079,,,False,0.9500000000000028,0,0,1,1
ACI,2023-02-28,5411.0,ALBERTSONS COMPANIES INC,11298553.48631579,535717.0,3574088.947368421,21.09052631578947,21.59,19.84,6.0,0.0,1.0,-0.02611363977213843,-0.0622646423755403,0.04527125638343055,0.02801062271299415,2528701.75,21.09052631578947,21.084763157894734,,False,1.75,0,0,1,1
ACI,2023-03-31,5411.0,ALBERTSONS COMPANIES INC,10680799.457391305,535717.0,5616219.478260869,19.937391304347827,20.81,19.14,4.0,0.0,0.0,0.03505299660820427,0.04527125638343055,0.011533310565803756,-0.0622646423755403,3574088.947368421,19.937391304347827,20.51395881006865,20.7023058733791,False,1.6699999999999982,0,0,0,1
ACI,2023-04-30,5411.0,ALBERTSONS COMPANIES INC,11214860.569473684,537729.4210526316,3695713.789473684,20.85578947368421,21.24,20.41,5.0,0.0,0.0,0.014642652863053884,0.011533310565803756,-0.02583833095572996,0.04527125638343055,5616219.478260869,20.85578947368421,20.39659038901602,20.62790236460717,False,0.8299999999999983,0,0,0,1
ACI,2023-05-31,5411.0,ALBERTSONS COMPANIES INC,11705249.659545453,573953.0,4550577.318181818,20.39409090909091,21.14,19.88,2.0,0.0,0.0,0.002482705725674217,-0.02583833095572996,0.0717114628413218,0.011533310565803756,3695713.789473684,20.39409090909091,20.62494019138756,20.39575722904098,False,1.2600000000000016,0,0,0,1
ACI,2023-06-30,5411.0,ALBERTSONS COMPANIES INC,12166540.701428572,574032.9047619047,4736892.666666667,21.194761904761908,21.93,20.025,6.0,0.0,1.0,0.06472687309789893,0.0717114628413218,0.0013926835786273184,-0.02583833095572996,4550577.318181818,21.194761904761908,20.79442640692641,20.81488076251234,False,1.9050000000000011,1,0,1,1
ACI,2023-07-31,5411.0,ALBERTSONS COMPANIES INC,12601478.1885,575633.4,2390318.35,21.8915,22.27,21.18,7.0,0.0,0.0,0.031138922990452178,0.0013926835786273184,0.030830908850979943,0.0717114628413218,4736892.666666667,21.8915,21.543130952380956,21.160117604617607,True,1.0899999999999999,1,0,0,1
ACI,2023-08-31,5411.0,ALBERTSONS COMPANIES INC,12625891.946086956,575679.0,2420605.086956522,21.932173913043478,22.71,21.47,3.0,0.0,2.0,-0.017717116734410787,0.030830908850979943,0.01562435899725223,0.0013926835786273184,2390318.35,21.932173913043478,21.91183695652174,21.67281193926846,True,1.240000000000002,1,0,1,1
ACI,2023-09-30,5411.0,ALBERTSONS COMPANIES INC,13358055.515999999,575679.0,5779137.65,23.204,23.88,22.37,7.0,0.0,2.0,-0.048719958330245894,0.01562435899725223,-0.04088638271056877,0.030830908850979943,2420605.086956522,23.204,22.56808695652174,22.342557971014497,True,1.509999999999998,1,0,1,1
ACI,2023-10-31,5411.0,ALBERTSONS COMPANIES INC,12881552.051363636,575688.7272727273,2665731.590909091,22.37590909090909,23.1325,21.62,8.0,0.0,0.0,-0.021980107591409892,-0.04088638271056877,0.003226131945706978,0.01562435899725223,5779137.65,22.37590909090909,22.789954545454545,22.50402766798419,False,1.5124999999999993,1,0,0,1
ACI,2023-11-30,5411.0,ALBERTSONS COMPANIES INC,12347968.624285715,575893.0,2070490.4285714286,21.44142857142857,22.12,20.84,3.0,0.0,2.0,0.0891784857429756,0.003226131945706978,0.05649927869220206,-0.04088638271056877,2665731.590909091,21.44142857142857,21.908668831168832,22.340445887445885,False,1.2800000000000011,1,0,1,1
ACI,2023-12-31,5411.0,ALBERTSONS COMPANIES INC,12925342.492,575893.0,3093184.75,22.444,23.02,21.695,2.0,0.0,0.0,0.044229197270271525,0.05649927869220206,,0.003226131945706978,2070490.4285714286,22.444,21.942714285714285,22.08711255411255,False,1.3249999999999993,1,0,0,1
ACM,2023-01-31,8711.0,A E C O M,11820328.45,138650.0,907204.05,85.253,88.42,80.83,4.0,0.0,0.0,0.06175077573839571,0.02976008803629826,-0.010429140865413689,,,85.253,,,False,7.590000000000003,1,0,0,1
ACM,2023-02-28,8711.0,A E C O M,12323699.894736841,138665.7894736842,1538416.9473684211,88.8736842105263,92.16,85.86,7.0,0.0,1.0,-0.02611363977213843,-0.010429140865413689,-0.02362086448043732,0.02976008803629826,907204.05,88.8736842105263,87.06334210526316,,False,6.299999999999997,1,0,1,1
ACM,2023-03-31,8711.0,A E C O M,11785980.652173912,138950.0,1060758.5652173914,84.82173913043479,91.3355,79.08,2.0,0.0,2.0,0.03505299660820427,-0.02362086448043732,-0.012892225190374806,-0.010429140865413689,1538416.9473684211,84.82173913043479,86.84771167048055,86.3161411136537,False,12.255499999999998,1,0,1,1
ACM,2023-04-30,8711.0,A E C O M,11425931.631578946,138950.0,611367.5263157894,82.23052631578948,85.18,79.37,6.0,0.0,0.0,0.014642652863053884,-0.012892225190374806,-0.06020302985232273,-0.02362086448043732,1060758.5652173914,82.23052631578948,83.52613272311214,85.30864988558353,False,5.810000000000002,0,0,0,1
ACM,2023-05-31,8711.0,A E C O M,11065204.452272726,138952.22727272726,1074186.9090909092,79.63318181818182,84.35,76.0,6.0,0.0,0.0,0.002482705725674217,-0.06020302985232273,0.0850709583723166,-0.012892225190374806,611367.5263157894,79.63318181818182,80.93185406698565,82.2284824214687,False,8.349999999999994,0,0,0,1
ACM,2023-06-30,8711.0,A E C O M,11711989.55,138999.0,1039159.8095238095,84.25952380952381,87.41,76.82,3.0,0.0,1.0,0.06472687309789893,0.0850709583723166,0.029448530119825733,-0.06020302985232273,1074186.9090909092,84.25952380952381,81.94635281385283,82.04107731449837,False,10.590000000000003,0,0,1,1
ACM,2023-07-31,8711.0,A E C O M,12113693.350499999,138999.0,542331.15,87.1495,89.4,84.01,8.0,0.0,0.0,0.031138922990452178,0.029448530119825733,0.008620896780876963,0.0850709583723166,1039159.8095238095,87.1495,85.70451190476192,83.68073520923521,True,5.390000000000001,1,0,0,1
ACM,2023-08-31,8711.0,A E C O M,12130674.112173913,138987.1739130435,684983.9130434783,87.27913043478262,89.93,81.65,11.0,0.0,2.0,-0.017717116734410787,0.008620896780876963,-0.05367257775494594,0.029448530119825733,542331.15,87.27913043478262,87.21431521739132,86.22938474810216,True,8.280000000000001,1,0,1,1
ACM,2023-09-30,8711.0,A E C O M,11663472.525,138727.0,750116.35,84.075,89.365,81.53,4.0,0.0,1.0,-0.048719958330245894,-0.05367257775494594,-0.07610460002135022,0.008620896780876963,684983.9130434783,84.075,85.67706521739132,86.16787681159421,False,7.834999999999994,0,0,1,1
