"TICKER","date","SICCD","COMNAM","market_cap","SHROUT","VOL","PRC","ASKHI","BIDLO","total","negative","positive","sprtrn","RET","next_month_return","last_month_return","last_month_volume","X1_month_ma","X2_month_ma","X3_month_ma","proper","Ask_minus_Bid","comp_size","dummy_negative","dummy_positive","dummy_total","move_avg_2","move_avg_3","lasso_pred","pred_forest","log_pred"
"ADBE","2023-05-31",7372,"ADOBE INC",-1.027048270225,1.20637795682357,0.943949586869196,-1.02981219008287,-0.694456765744121,-1.01878867106642,2,0,0,-0.390382808037568,0.519247132765484,0.170419810616174,-0.776927572415566,-1.1118178396755,-1.02981219008287,-1.01544192754761,-1.13775540286509,"0",1.2968229464206,"0","0","0","1","1","0",0.0238440773594694,-0.0140417831302163,"Positive"
"ADBE","2023-06-30",7372,"ADOBE INC",0.0152960422767779,-0.501652326184156,2.37836040157815,0.0202535480754699,0.171027799314333,-0.182351176421223,17,0,2,1.07577584397614,1.14475779396457,0.116936136480823,0.442308019329028,0.952808400614113,0.0202535480754699,-0.525282320161956,-0.699246645006037,"1",1.53505442224736,"0","0","1","1","0","0",0.0238440773594694,-0.0135946762529938,"Positive"
"ADBE","2023-07-31",7372,"ADOBE INC",0.480790518353209,-0.678025018451265,-0.0453047928441035,0.482556936754841,0.516212414822728,0.470049158464665,5,0,0,0.284613141791573,0.620942174896331,0.0241144044440362,1.05633219905997,2.33648255494514,0.482556936754841,0.278420305796639,-0.171996275817701,"1",0.265526457538694,"1","0","0","1","0","0",0.0238440773594694,-0.0140417831302163,"Negative"
"ADBE","2023-08-31",7372,"ADOBE INC",0.610217293746673,-0.678025018451265,-0.999235405130022,0.610347039441419,0.608665141426157,0.77070880063968,12,0,2,-0.866188746478157,-0.288147819683852,-0.0883907326649263,0.54213559813863,-0.00145498281262379,0.610347039441419,0.592007564459835,0.452541978841891,"1",-0.6134813396828,"1","0","1","1","0","0",0.0238440773594694,-0.0359148178586765,"Negative"
"ADBE","2023-09-30",7372,"ADOBE INC",0.724837926431098,-0.684522959745316,0.0467910348038297,0.723505712010018,0.690822588485603,0.716564141727914,19,0,2,-1.59645933024096,-1.39001580081672,0.0434583363574756,-0.350260443766795,-0.921644038632744,0.723505712010018,0.720052470929862,0.720325661757026,"1",-0.0192634639292241,"1","0","1","1","0","0",0.0238440773594694,0.041387676286695,"Positive"
"ADBE","2023-10-31",7372,"ADOBE INC",0.700776444710336,-1.00292208315382,-0.645093981738145,0.705733449974258,0.73281085302501,0.777471044066538,22,0,6,-0.966603310481685,-0.0986946111251193,0.148387099257625,-1.43189441942107,0.0873833159030942,0.705733449974258,0.770742680922647,0.805306599911119,"0",-0.0947138214321847,"1","0","1","1","1","1",0.0238440773594694,0.0662365153340028,"Negative"
"ADBE","2023-11-30",7372,"ADOBE INC",1.33036192695495,-1.00292208315382,-0.684041890124252,1.32804013100642,1.27985725310414,1.08385279259485,2,0,0,1.65173251507886,0.928970854742266,-0.0235851325117695,-0.164286233895339,-0.5800289800313,1.32804013100642,1.09200413185274,1.07858908536667,"1",1.00738283560304,"2","0","0","1","0","0",0.0238440773594694,-0.0140417831302163,"Positive"
"AMZN","2023-03-31",7370,"AMAZON COM INC",-1.27135311268633,-0.956709327682601,-0.0290392128438902,-1.27705638179783,-1.42656369440869,-1.24304051988823,11,1,2,0.376808975418333,0.487670121227689,0.0209123521989485,-1.55856471361854,1.38507669812628,-1.27705638179783,-1.31041861651127,-1.49881110175032,"0",-0.313334913257514,"8","1","1","1","0","0",0.0238440773594694,0.0313002889171085,"Positive"
"AMZN","2023-04-30",7370,"AMAZON COM INC",-0.92579025493536,-0.822830801762765,0.59859208350471,-0.925759690465913,-1.01941469173021,-0.755818854065568,45,0,5,-0.103955782724765,-0.380653417059455,0.143481852476728,0.451694659703887,-0.165815624326753,-0.925759690465913,-1.19433486809768,-1.31269452667935,"1",-0.820351187956177,"8","0","1","1","0","0",0.0238440773594694,0.103067845972799,"Positive"
"AMZN","2023-05-31",7370,"AMAZON COM INC",-0.490816500590532,-0.786582021230481,0.685277857662347,-0.481237955953625,-0.35317086916542,-0.580703711785019,44,0,4,-0.390382808037568,1.03398515034146,0.0811081531314966,-0.377269966963147,0.500691769371158,-0.481237955953625,-0.761419059243393,-1.05295193529335,"1",1.15163310393051,"9","0","1","1","0","0",0.0238440773594694,0.0231418900058216,"Positive"
