TICKER,date,SICCD,COMNAM,market_cap,SHROUT,VOL,PRC,ASKHI,BIDLO,total,negative,positive,sprtrn,RET,next_week_return,last_week_return,last_week_volume,2_week_ma,3_week_ma,4_week_ma,proper?,Ask_minus_Bid,comp_size,dummy_negative,dummy_positive,dummy_total
AAPL,2023-06-26,3571.0,APPLE INC,0.8127069382639683,0.442583322078634,-0.6787856082182829,0.7385082381258903,0.6868593452111125,0.779195399277002,1.0,0.0,0.0,-1.2436966570882895,-0.21719433973435295,0.03880902984128154,-0.07711697181621567,0.8413222727120397,0.7227745067651058,0.6447130838311299,0.5883185764265377,True,-0.6422739072352217,9,0,0,1
AAPL,2023-07-03,3571.0,APPLE INC,1.0953566009631928,0.12619472764313266,-0.46823351911551525,1.0298040209223251,1.0630252198146422,0.9534423964026156,1.0,0.0,0.0,1.3689193212509678,1.0742275943052908,-0.020003443491021455,-0.2248224623341214,-0.724334914942086,0.9052118880908938,0.8557193160453804,0.7765239155072936,True,0.41672374524316846,9,0,0,1
AAPL,2023-07-10,3571.0,APPLE INC,1.0566894128302624,-0.34838816401012845,-0.7316105272468884,1.026450596933559,0.9752726829708946,1.0306680047264136,1.0,0.0,0.0,-0.8057810598843924,-0.9832087097091912,0.028524602413778855,1.0567913712162758,-0.5099044995761626,1.0549991594529418,0.981131072505308,0.9405481329365729,True,-0.48892930223320524,9,0,0,1
AAPL,2023-07-17,3571.0,APPLE INC,1.0570797133096528,-0.34838816401012845,-0.8517305205078601,1.0268233142371321,1.0536655342348884,1.0060582117851913,0.0,0.0,0.0,1.1712619949384089,0.7144475483992072,-0.006391537742465814,-0.9850191009239746,-0.7781328581363064,1.0534485993930944,1.0852270107589266,1.0387039069853352,False,0.07216464515617113,9,0,0,0
AAPL,2023-07-24,3571.0,APPLE INC,1.2160783763482796,-0.4017601964930297,0.18102125074372058,1.1825020442551877,1.282406561924011,1.268002383421161,0.0,0.0,0.0,0.14805737669683683,-0.5070235151899258,0.01919629840749648,0.6997437853615981,-0.9004654370172039,1.1346263760258744,1.1403585155789335,1.1640339498567938,True,-0.15543402646092694,9,0,0,0
AAPL,2023-07-31,3571.0,APPLE INC,1.2935896151374033,-0.4818182452173725,-1.186893446169828,1.2624047241087786,1.222149819957971,1.34268209256945,1.0,1.0,0.0,0.17519275732008344,0.3881155608126966,-0.08959059180339712,-0.512450441106677,0.15130940987724362,1.2571755442497425,1.225549573169143,1.2296921993635452,True,-0.8982908018778526,9,1,0,1
AAPL,2023-08-07,3571.0,APPLE INC,0.8926848170884032,-0.4818182452173725,1.05573995855639,0.8792269181072413,1.1946540250802635,0.4827344923748417,4.0,0.0,0.0,-1.0818484511624893,-3.4175753860054665,0.00476527116164438,0.3758902262752849,-1.241801994974012,1.0994121856185646,1.1722600069583693,1.1881340746233457,False,3.7579955271959626,9,0,0,1
AAPL,2023-08-14,3571.0,APPLE INC,0.3291386323359149,-0.4818182452173725,-0.2545346861927377,0.3405993144844891,0.2703267186425448,0.43747349683262904,2.0,0.0,2.0,-0.5872841844802975,-0.11672495477110177,-0.02017101406663302,-3.4008972318738815,1.0421402567422486,0.6198901118043939,0.8682916687229093,0.9944275811517324,False,-0.9836434648269211,9,0,1,1
AAPL,2023-08-21,3571.0,APPLE INC,0.15090554795075595,-0.4818182452173725,-0.496644535699957,0.17024724445702102,0.18549985137716704,0.17779234668600088,1.0,0.0,0.0,-1.3380025538288363,-0.989070829872032,0.024738877988018437,-0.12511612297032815,-0.29226937801496833,0.25107973181387694,0.47396904398027184,0.7086895016916807,False,0.00893963083653161,9,0,0,1
AAPL,2023-08-28,3571.0,APPLE INC,0.33297676583294694,-0.4818182452173725,-0.7864037777386874,0.3442677354654584,0.30659835222153986,0.3961739204075081,0.0,0.0,0.0,0.18002817828055234,0.5820115798157234,0.05144436095055038,-0.9908366994149114,-0.538838841254418,0.25298804002952735,0.2808224392463606,0.4495188858857715,False,-0.5568959555448544,9,0,0,0
