gvkey,adate,qdate,public_date,TICKER
030614,2022-12-31,2023-03-31,2023-06-30,EFOI
030614,2022-12-31,2023-03-31,2023-07-31,EFOI
030614,2022-12-31,2023-06-30,2023-08-31,EFOI
030614,2022-12-31,2023-06-30,2023-09-30,EFOI
030614,2022-12-31,2023-06-30,2023-10-31,EFOI
030614,2022-12-31,2023-09-30,2023-11-30,EFOI
030614,2022-12-31,2023-09-30,2023-12-31,EFOI
030622,2022-01-31,2022-10-31,2023-01-31,YEXT
030622,2022-01-31,2022-10-31,2023-02-28,YEXT
030622,2023-01-31,2023-01-31,2023-03-31,YEXT
030622,2023-01-31,2023-01-31,2023-04-30,YEXT
030622,2023-01-31,2023-01-31,2023-05-31,YEXT
030622,2023-01-31,2023-04-30,2023-06-30,YEXT
030622,2023-01-31,2023-04-30,2023-07-31,YEXT
030622,2023-01-31,2023-04-30,2023-08-31,YEXT
030622,2023-01-31,2023-07-31,2023-09-30,YEXT
030622,2023-01-31,2023-07-31,2023-10-31,YEXT
030622,2023-01-31,2023-07-31,2023-11-30,YEXT
030622,2023-01-31,2023-10-31,2023-12-31,YEXT
030647,2021-12-31,2022-09-30,2023-01-31,PNBK
030647,2022-12-31,2022-12-31,2023-02-28,PNBK
030647,2022-12-31,2022-12-31,2023-03-31,PNBK
030647,2022-12-31,2022-12-31,2023-04-30,PNBK
030647,2022-12-31,2023-03-31,2023-05-31,PNBK
030647,2022-12-31,2023-03-31,2023-06-30,PNBK
030647,2022-12-31,2023-03-31,2023-07-31,PNBK
030647,2022-12-31,2023-06-30,2023-08-31,PNBK
030647,2022-12-31,2023-06-30,2023-09-30,PNBK
030647,2022-12-31,2023-06-30,2023-10-31,PNBK
030647,2022-12-31,2023-09-30,2023-11-30,PNBK
030647,2022-12-31,2023-09-30,2023-12-31,PNBK
030651,2021-12-31,2022-09-30,2023-01-31,DAR
030651,2022-12-31,2022-12-31,2023-02-28,DAR
030651,2022-12-31,2022-12-31,2023-03-31,DAR
030651,2022-12-31,2022-12-31,2023-04-30,DAR
030651,2022-12-31,2023-03-31,2023-05-31,DAR
030651,2022-12-31,2023-03-31,2023-06-30,DAR
030651,2022-12-31,2023-03-31,2023-07-31,DAR
030651,2022-12-31,2023-06-30,2023-08-31,DAR
030651,2022-12-31,2023-06-30,2023-09-30,DAR
030651,2022-12-31,2023-06-30,2023-10-31,DAR
030651,2022-12-31,2023-09-30,2023-11-30,DAR
030651,2022-12-31,2023-09-30,2023-12-31,DAR
030655,2021-12-31,2022-09-30,2023-01-31,AYX
030655,2022-12-31,2022-12-31,2023-02-28,AYX
030655,2022-12-31,2022-12-31,2023-03-31,AYX
030655,2022-12-31,2022-12-31,2023-04-30,AYX
030655,2022-12-31,2023-03-31,2023-05-31,AYX
030655,2022-12-31,2023-03-31,2023-06-30,AYX
030655,2022-12-31,2023-03-31,2023-07-31,AYX
030655,2022-12-31,2023-06-30,2023-08-31,AYX
030655,2022-12-31,2023-06-30,2023-09-30,AYX
030655,2022-12-31,2023-06-30,2023-10-31,AYX
030655,2022-12-31,2023-09-30,2023-11-30,AYX
030655,2022-12-31,2023-09-30,2023-12-31,AYX
030662,2021-12-31,2022-09-30,2023-01-31,SIRI
030662,2022-12-31,2022-12-31,2023-02-28,SIRI
030662,2022-12-31,2022-12-31,2023-03-31,SIRI
030662,2022-12-31,2022-12-31,2023-04-30,SIRI
030662,2022-12-31,2023-03-31,2023-05-31,SIRI
030662,2022-12-31,2023-03-31,2023-06-30,SIRI
030662,2022-12-31,2023-03-31,2023-07-31,SIRI
030662,2022-12-31,2023-06-30,2023-08-31,SIRI
030662,2022-12-31,2023-06-30,2023-09-30,SIRI
030662,2022-12-31,2023-06-30,2023-10-31,SIRI
030662,2022-12-31,2023-09-30,2023-11-30,SIRI
