PERMNO,date,SICCD,TICKER,COMNAM,HSICIG,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,NUMTRD,RETX,sprtrn,enterdate,positive,negative,total,market_cap
92655,2023-04-25,6324,UNH,UNITEDHEALTH GROUP INC,,490.57999,498.50259,491.92001,2937292.0,0.006095,932847.0,,0.006095,-0.015811,,0.0,0.0,0.0,458886105.56847
92655,2023-04-26,6324,UNH,UNITEDHEALTH GROUP INC,,478.35999,487.70001,482.95001,2929969.0,-0.018235,932847.0,,-0.018235,-0.003841,2023-04-26,1.0,0.0,3.0,450518467.97847
92655,2023-04-27,6324,UNH,UNITEDHEALTH GROUP INC,,482.20001,490.98001,490.47,2473223.0,0.015571,932847.0,,0.015571,0.019566,,0.0,0.0,0.0,457533468.09000003
92655,2023-04-28,6324,UNH,UNITEDHEALTH GROUP INC,,488.12,493.95999,492.09,2398914.0,0.003303,932847.0,,0.003303,0.008253,,0.0,0.0,0.0,459044680.22999996
92655,2023-05-01,6324,UNH,UNITEDHEALTH GROUP INC,,491.80911,499.38501,495.70001,2105592.0,0.007336,932847.0,,0.007336,-0.000386,,0.0,0.0,0.0,462412267.22847
92655,2023-05-02,6324,UNH,UNITEDHEALTH GROUP INC,,489.26999,496.70999,493.39001,2152342.0,-0.00466,932847.0,,-0.00466,-0.011586,,0.0,0.0,0.0,460257390.65847003
92655,2023-05-03,6324,UNH,UNITEDHEALTH GROUP INC,,488.03,495.45001,489.44,1749709.0,-0.008006,932847.0,,-0.008006,-0.006998,2023-05-03,0.0,0.0,1.0,456572635.68
92655,2023-05-04,6324,UNH,UNITEDHEALTH GROUP INC,,481.95001,489.69,487.28,2555690.0,-0.004413,932847.0,,-0.004413,-0.007219,,0.0,0.0,0.0,454557686.15999997
92655,2023-05-05,6324,UNH,UNITEDHEALTH GROUP INC,,492.03,500.85001,494.28,2329402.0,0.014365,932847.0,,0.014365,0.018475,,0.0,0.0,0.0,461087615.15999997
92655,2023-05-08,6324,UNH,UNITEDHEALTH GROUP INC,,488.32001,494.35001,492.62,1738461.0,-0.003358,932847.0,,-0.003358,0.000452,,0.0,0.0,0.0,459539089.14
92655,2023-05-09,6324,UNH,UNITEDHEALTH GROUP INC,,490.29999,499.39999,490.38,2038644.0,-0.004547,932847.0,,-0.004547,-0.004579,,0.0,0.0,0.0,457449511.86
92655,2023-05-10,6324,UNH,UNITEDHEALTH GROUP INC,,487.64001,493.465,490.07001,2018899.0,-0.000632,932847.0,,-0.000632,0.004484,,0.0,0.0,0.0,457160338.61847
92655,2023-05-11,6324,UNH,UNITEDHEALTH GROUP INC,,485.66,490.12,488.76001,2384419.0,-0.002673,932847.0,,-0.002673,-0.001697,2023-05-11,0.0,0.0,2.0,455938309.04847
92655,2023-05-12,6324,UNH,UNITEDHEALTH GROUP INC,,487.745,492.89999,491.23001,1536748.0,0.005054,932847.0,,0.005054,-0.001583,,0.0,0.0,0.0,458242441.13847
92655,2023-05-15,6324,UNH,UNITEDHEALTH GROUP INC,,483.70001,491.79001,486.85999,2169713.0,-0.008896,932847.0,,-0.008896,0.002958,,0.0,0.0,0.0,454165881.09152997
92655,2023-05-16,6324,UNH,UNITEDHEALTH GROUP INC,,479.01001,489.20999,479.72,2179518.0,-0.014665,932847.0,,-0.014665,-0.006378,,0.0,0.0,0.0,447505362.84000003
92655,2023-05-17,6324,UNH,UNITEDHEALTH GROUP INC,,477.54001,485.39999,484.81,2682082.0,0.01061,932847.0,,0.01061,0.011891,,0.0,0.0,0.0,452253554.07
92655,2023-05-18,6324,UNH,UNITEDHEALTH GROUP INC,,473.89001,482.54999,479.23001,3040115.0,-0.01151,932847.0,,-0.01151,0.009445,,0.0,0.0,0.0,447048277.13847
92655,2023-05-19,6324,UNH,UNITEDHEALTH GROUP INC,,477.81,484.79999,478.82001,2318047.0,-0.000856,932847.0,,-0.000856,-0.001446,,0.0,0.0,0.0,446665809.86847
92655,2023-05-22,6324,UNH,UNITEDHEALTH GROUP INC,,477.91,482.20441,480.62,2242831.0,0.003759,932847.0,,0.003759,0.000155,,0.0,0.0,0.0,448344925.14
92655,2023-05-23,6324,UNH,UNITEDHEALTH GROUP INC,,472.54401,483.39001,479.44,2874407.0,-0.002455,932847.0,,-0.002455,-0.011222,,0.0,0.0,0.0,447244165.68
92655,2023-05-24,6324,UNH,UNITEDHEALTH GROUP INC,,478.89001,483.28,480.82999,1904673.0,0.002899,932847.0,,0.002899,-0.007319,,0.0,0.0,0.0,448540813.68153
92655,2023-05-25,6324,UNH,UNITEDHEALTH GROUP INC,,474.29999,481.76999,477.70001,2684136.0,-0.00651,932847.0,,-0.00651,0.008758,2023-05-25,0.0,0.0,1.0,445621021.22847
92655,2023-05-26,6324,UNH,UNITEDHEALTH GROUP INC,,478.0,488.39001,481.51999,3135257.0,0.007997,932847.0,,0.007997,0.013049,,0.0,0.0,0.0,449184478.11153
92655,2023-05-30,6324,UNH,UNITEDHEALTH GROUP INC,,476.03,485.87,479.85001,3180817.0,-0.003468,932847.0,,-0.003468,1.7e-05,,0.0,0.0,0.0,447626642.27847
92655,2023-05-31,6324,UNH,UNITEDHEALTH GROUP INC,,477.10999,487.39999,487.23999,4944096.0,0.015401,931032.0,,0.015401,-0.006109,,0.0,0.0,0.0,453636022.36968
92655,2023-06-01,6324,UNH,UNITEDHEALTH GROUP INC,,486.10999,498.78,493.63,3376556.0,0.013115,931032.0,,0.013115,0.009854,,0.0,0.0,0.0,459585326.15999997
92655,2023-06-02,6324,UNH,UNITEDHEALTH GROUP INC,,490.35999,501.01999,499.57999,3064711.0,0.012054,931032.0,,0.012054,0.014534,2023-06-02,0.0,0.0,1.0,465124957.24968
92655,2023-06-05,6324,UNH,UNITEDHEALTH GROUP INC,,497.41501,502.89999,498.19,2851137.0,-0.002782,931032.0,,-0.002782,-0.002004,,0.0,0.0,0.0,463830832.08
92655,2023-06-06,6324,UNH,UNITEDHEALTH GROUP INC,,483.66501,499.89999,487.57001,3816607.0,-0.021317,931032.0,,-0.021317,0.002354,,0.0,0.0,0.0,453943281.55032
92655,2023-06-07,6324,UNH,UNITEDHEALTH GROUP INC,,481.60001,490.43991,482.13,4381722.0,-0.011157,931032.0,,-0.011157,-0.003812,,0.0,0.0,0.0,448878458.15999997
92655,2023-06-08,6324,UNH,UNITEDHEALTH GROUP INC,,482.42999,491.82001,490.23001,2726055.0,0.0168,931032.0,,0.0168,0.006189,,0.0,0.0,0.0,456419826.67032
92655,2023-06-09,6324,UNH,UNITEDHEALTH GROUP INC,,487.22501,498.21939,493.62,3174372.0,0.006915,931032.0,,0.006915,0.001148,,0.0,0.0,0.0,459576015.84000003
92655,2023-06-12,6324,UNH,UNITEDHEALTH GROUP INC,,488.72009,494.45001,492.59,2207832.0,-0.002087,931032.0,,-0.002087,0.009321,2023-06-12,0.0,0.0,1.0,458617052.88
92655,2023-06-13,6324,UNH,UNITEDHEALTH GROUP INC,,488.66,494.66,491.31,3016633.0,-0.002599,931032.0,,-0.002599,0.006933,,0.0,0.0,0.0,457425331.92
92655,2023-06-14,6324,UNH,UNITEDHEALTH GROUP INC,,445.67999,460.63,459.85999,14672357.0,-0.064013,931032.0,,-0.064013,0.000819,2023-06-14,0.0,0.0,1.0,428144366.20967996
92655,2023-06-15,6324,UNH,UNITEDHEALTH GROUP INC,,460.91,472.0,465.89001,6798125.0,0.017201,931032.0,,0.013113,0.012178,,0.0,0.0,0.0,433758507.79032004
92655,2023-06-16,6324,UNH,UNITEDHEALTH GROUP INC,,457.92999,468.51501,458.48999,7699120.0,-0.015884,931032.0,,-0.015884,-0.003672,,0.0,0.0,0.0,426868852.36968
92655,2023-06-20,6324,UNH,UNITEDHEALTH GROUP INC,,456.75,470.48999,469.39001,4598303.0,0.023774,931032.0,,0.023774,-0.004735,2023-06-20,1.0,0.0,3.0,437017119.79032004
92655,2023-06-21,6324,UNH,UNITEDHEALTH GROUP INC,,467.19,479.36499,476.75,4886662.0,0.01568,931032.0,,0.01568,-0.005245,,0.0,0.0,0.0,443869506.0
92655,2023-06-22,6324,UNH,UNITEDHEALTH GROUP INC,,478.0,483.17999,479.04999,3179488.0,0.004824,931032.0,,0.004824,0.003711,,0.0,0.0,0.0,446010870.28968
92655,2023-06-23,6324,UNH,UNITEDHEALTH GROUP INC,,476.54999,482.27499,477.0,4862584.0,-0.004279,931032.0,,-0.004279,-0.007659,,0.0,0.0,0.0,444102264.0
92655,2023-06-26,6324,UNH,UNITEDHEALTH GROUP INC,,473.0,481.31,479.06,2968328.0,0.004319,931032.0,,0.004319,-0.004487,,0.0,0.0,0.0,446020189.92
