EXEC_FULLNAME,CFOANN,CONAME,CEOANN,SALARY,BONUS,OTHCOMP,TOTAL_CURR,TDC1,SAL_PCT,TDC1_PCT,GVKEY,YEAR,GENDER,PAGE,TICKER,SPINDEX,Income Stability Ratio
Eduardo Xavier Castro-Wright,,WALMART INC,,919.945,480,229.007,1399.945,19073.007,18.703,49.536,011259,2008,MALE,69,WMT,3010,65.71293872
C. Douglas McMillon,,WALMART INC,,800,0,277.885,800,9909.778,,,011259,2008,MALE,58,WMT,3010,100
Thomas M. Schoewe,CFO,WALMART INC,,807.514,0,342.031,807.514,7216.307,3.527,-2.482,011259,2009,MALE,71,WMT,3010,100
Michael Terry Duke,,WALMART INC,CEO,1203.228,0,318.218,1203.228,19234.269,14.593,-34.318,011259,2009,MALE,74,WMT,3010,100
Eduardo Xavier Castro-Wright,,WALMART INC,,1002.747,0,315.552,1002.747,13942.273,9.001,-26.9,011259,2009,MALE,69,WMT,3010,100
C. Douglas McMillon,,WALMART INC,,852.312,340,134.874,1192.312,11229.879,6.539,13.321,011259,2009,MALE,58,WMT,3010,71.48397399
Brian C. Cornell,,WALMART INC,,668.498,0,1748.573,668.498,14322.201,,,011259,2009,MALE,64,WMT,3010,100
Thomas M. Schoewe,CFO,WALMART INC,,825.151,0,631.063,825.151,3089.766,2.184,-57.184,011259,2010,MALE,71,WMT,3010,100
Michael Terry Duke,,WALMART INC,CEO,1232.67,0,476.567,1232.67,18712.72,2.447,-2.712,011259,2010,MALE,74,WMT,3010,100
Eduardo Xavier Castro-Wright,,WALMART INC,,1035.385,0,433.755,1035.385,9168.188,3.255,-34.242,011259,2010,MALE,69,WMT,3010,100
C. Douglas McMillon,,WALMART INC,,880.077,0,206.739,880.077,8806.408,3.258,-21.581,011259,2010,MALE,58,WMT,3010,100
Brian C. Cornell,,WALMART INC,,815.253,500,89.192,1315.253,,21.953,,011259,2010,MALE,64,WMT,3010,61.98450032
