EXEC_FULLNAME,CFOANN,CONAME,CEOANN,SALARY,BONUS,OTHCOMP,TOTAL_CURR,TDC1,SAL_PCT,TDC1_PCT,GVKEY,YEAR,GENDER,PAGE,TICKER,SPINDEX,Income Stability Ratio
Oswaldo-Fernando Duenas,,AMAZON.COM INC,,129.851,25,0,154.851,266.945,,,064768,1997,MALE,,AMZN,2550,83.85544814
Sheldon Kaphan,,AMAZON.COM INC,,97.601,30,0,127.601,127.601,,,064768,1997,MALE,,AMZN,2550,76.48921247
Joel R. Spiegel,,AMAZON.COM INC,,89.302,30,0,119.302,446.347,,,064768,1997,MALE,,AMZN,2550,74.85373254
John D. Risher,,AMAZON.COM INC,,81.754,13.5,0,95.254,,,,064768,1997,MALE,,AMZN,2550,85.82736683
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,0,81.84,81.84,3.337,3.337,064768,1998,MALE,59,AMZN,2550,100
George T. Aposporos,,AMAZON.COM INC,,142.083,0,0,142.083,142.083,54.495,-82.121,064768,1998,MALE,,AMZN,2550,100
Richard L. Dalzell,,AMAZON.COM INC,,201.512,0,0,201.512,201.512,116.981,-88.445,064768,1998,MALE,,AMZN,2550,100
Joel R. Spiegel,,AMAZON.COM INC,,116.352,0,0,116.352,116.352,30.29,-73.932,064768,1998,MALE,,AMZN,2550,100
John D. Risher,,AMAZON.COM INC,,105.168,50,0,155.168,4471.179,28.64,,064768,1998,MALE,,AMZN,2550,67.77686121
Jimmy M. Wright,,AMAZON.COM INC,,54.487,125,14.746,179.487,4681.849,,,064768,1998,MALE,,AMZN,2550,30.35707321
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,0.957,81.84,82.797,0,1.169,064768,1999,MALE,59,AMZN,2550,100
Richard L. Dalzell,,AMAZON.COM INC,,206.212,0,0,206.212,26067.913,2.332,12836.159,064768,1999,MALE,,AMZN,2550,100
"Joseph Galli, Jr.",,AMAZON.COM INC,,102.266,2900,131.568,3002.266,204489.424,,,064768,1999,MALE,65,AMZN,2550,3.406293779
Warren C. Jenson,,AMAZON.COM INC,,55.679,2150,108.71,2205.679,114436.264,,,064768,1999,MALE,67,AMZN,2550,2.524347378
Jeffrey A. Wilke,,AMAZON.COM INC,,38.18,803,9.388,841.18,53055.972,,,064768,1999,MALE,56,AMZN,2550,4.538862075
Mark Jorge Britto,,AMAZON.COM INC,,50.453,70.5,13.846,120.953,,,,064768,1999,MALE,58,AMZN,2550,41.71289675
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,0,81.84,81.84,0,-1.156,064768,2000,MALE,59,AMZN,2550,100
Richard L. Dalzell,,AMAZON.COM INC,,210.052,0,0,210.052,,1.862,,064768,2000,MALE,,AMZN,2550,100
Warren C. Jenson,,AMAZON.COM INC,,177.45,1916.667,1.308,2094.117,8952.476,218.702,-92.177,064768,2000,MALE,67,AMZN,2550,8.473738573
Jeffrey A. Wilke,,AMAZON.COM INC,,121.68,1066.667,112.432,1188.347,6867.078,218.701,-87.057,064768,2000,MALE,56,AMZN,2550,10.23943343
Mark Jorge Britto,,AMAZON.COM INC,,116.166,1000,0,1116.166,18541.102,130.246,,064768,2000,MALE,58,AMZN,2550,10.4075917
Diego Piacentini,,AMAZON.COM INC,,150.694,1666.667,668.008,1817.361,39297.799,,,064768,2000,MALE,62,AMZN,2550,8.291913384
Mark S. Peek,,AMAZON.COM INC,,100.52,450,0.5,550.52,,,,064768,2000,MALE,,AMZN,2550,18.25910049
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,0,81.84,81.84,0,0,064768,2001,MALE,59,AMZN,2550,100
Richard L. Dalzell,,AMAZON.COM INC,,211.502,0,0,211.502,,0.69,,064768,2001,MALE,,AMZN,2550,100
Warren C. Jenson,,AMAZON.COM INC,,178.675,1583.333,0,1762.008,13182.367,0.69,47.248,064768,2001,MALE,67,AMZN,2550,10.14041934
Jeffrey A. Wilke,,AMAZON.COM INC,,143.13,533.333,0,676.463,10894.377,17.628,58.646,064768,2001,MALE,56,AMZN,2550,21.15858517
Mark Jorge Britto,,AMAZON.COM INC,,150,1000,0,1150,11367.901,29.126,-38.688,064768,2001,MALE,58,AMZN,2550,13.04347826
Diego Piacentini,,AMAZON.COM INC,,175,1233.333,101.959,1408.333,11728.206,16.129,-70.156,064768,2001,MALE,62,AMZN,2550,12.42603844
Mark S. Peek,,AMAZON.COM INC,,128.75,225,0,353.75,,28.084,,064768,2001,MALE,,AMZN,2550,36.39575972
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,0,81.84,81.84,0,0,064768,2002,MALE,59,AMZN,2550,100
Richard L. Dalzell,,AMAZON.COM INC,,211.502,1000,0,1211.502,1211.502,0,,064768,2002,MALE,,AMZN,2550,17.45783333
Jeffrey A. Wilke,,AMAZON.COM INC,,150,600,0,750,750,4.8,-93.116,064768,2002,MALE,56,AMZN,2550,20
Diego Piacentini,,AMAZON.COM INC,,175,0,79.337,175,254.337,0,-97.831,064768,2002,MALE,62,AMZN,2550,100
Mark S. Peek,,AMAZON.COM INC,,145,2018.75,0,2163.75,2163.75,12.621,,064768,2002,MALE,,AMZN,2550,6.701328712
Thomas J. Szkutak,,AMAZON.COM INC,,37.5,650,8.995,687.5,10366.495,,,064768,2002,MALE,62,AMZN,2550,5.454545455
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1100,81.84,1181.84,0,1344.086,064768,2003,MALE,59,AMZN,2550,100
Richard L. Dalzell,,AMAZON.COM INC,,211.502,0,0,211.502,211.502,0,-82.542,064768,2003,MALE,,AMZN,2550,100
Diego Piacentini,,AMAZON.COM INC,,175,500,65.6,675,740.6,0,191.188,064768,2003,MALE,62,AMZN,2550,25.92592593
Thomas J. Szkutak,,AMAZON.COM INC,,150,600,12.882,750,762.882,300,-92.641,064768,2003,MALE,62,AMZN,2550,20
Jason Kilar,,AMAZON.COM INC,,150,62.499,4,212.499,216.499,,,064768,2003,MALE,,AMZN,2550,70.58856748
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1000,81.84,1081.84,0,-8.461,064768,2004,MALE,59,AMZN,2550,100
Richard L. Dalzell,,AMAZON.COM INC,,211.502,0,0,211.502,616.797,0,191.627,064768,2004,MALE,,AMZN,2550,100
Diego Piacentini,,AMAZON.COM INC,,175,0,55.905,175,636.2,0,-14.097,064768,2004,MALE,62,AMZN,2550,100
Thomas J. Szkutak,,AMAZON.COM INC,,150,600,3,750,753,0,-1.295,064768,2004,MALE,62,AMZN,2550,20
Kal Raman,,AMAZON.COM INC,,43.682,125,0,168.682,7770.682,,,064768,2004,MALE,,AMZN,2550,25.89606478
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1100,81.84,1181.84,0,9.244,064768,2005,MALE,59,AMZN,2550,100
Richard L. Dalzell,,AMAZON.COM INC,,160.343,0,0,160.343,721.011,-24.188,16.896,064768,2005,MALE,,AMZN,2550,100
Diego Piacentini,,AMAZON.COM INC,,175,0,55.905,175,791.573,0,24.422,064768,2005,MALE,62,AMZN,2550,100
Thomas J. Szkutak,,AMAZON.COM INC,,150,600,3.25,750,753.25,0,0.033,064768,2005,MALE,62,AMZN,2550,20
Kal Raman,,AMAZON.COM INC,,125,383.33315,0.832,508.33315,509.16515,186.159,-93.448,064768,2005,MALE,,AMZN,2550,24.5901728
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1200,81.84,1281.84,0,8.461,064768,2006,MALE,59,AMZN,2550,100
Richard L. Dalzell,,AMAZON.COM INC,,211.502,0,0,211.502,6615.669,31.906,817.555,064768,2006,MALE,,AMZN,2550,100
Jeffrey A. Wilke,,AMAZON.COM INC,,155,0,3.162,155,8074.079,,,064768,2006,MALE,56,AMZN,2550,100
Diego Piacentini,,AMAZON.COM INC,,175,0,55.905,175,6706.888,0,747.286,064768,2006,MALE,62,AMZN,2550,100
Thomas J. Szkutak,CFO,AMAZON.COM INC,,150,450,2.993,600,3359.988,0,346.065,064768,2006,MALE,62,AMZN,2550,25
Marc A. Onetto,,AMAZON.COM INC,,12.452,166.667,9.384,179.119,,,,064768,2006,MALE,72,AMZN,2550,6.951802991
H. Brian Valentine,,AMAZON.COM INC,,43.269,566.667,0.749,609.936,,,,064768,2006,MALE,63,AMZN,2550,7.094022979
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1200,81.84,1281.84,0,0,064768,2007,MALE,59,AMZN,2550,100
Thomas J. Szkutak,CFO,AMAZON.COM INC,,150,0,3,150,153,0,-95.446,064768,2007,MALE,62,AMZN,2550,100
Sebastian J. Gunningham,,AMAZON.COM INC,,123.863,1125,183.878,1248.863,15562.741,,,064768,2007,MALE,60,AMZN,2550,9.918061469
Marc A. Onetto,,AMAZON.COM INC,,150,1900,343.31,2050,2393.31,1104.626,,064768,2007,MALE,72,AMZN,2550,7.317073171
H. Brian Valentine,,AMAZON.COM INC,,150,1300,3.115,1450,1453.115,246.669,,064768,2007,MALE,63,AMZN,2550,10.34482759
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1200,81.84,1281.84,0,0,064768,2008,MALE,59,AMZN,2550,100
Diego Piacentini,,AMAZON.COM INC,,175,0,55.905,175,,,,064768,2008,MALE,62,AMZN,2550,100
Thomas J. Szkutak,CFO,AMAZON.COM INC,,157.5,0,3.15,157.5,7651.65,5,4901.078,064768,2008,MALE,62,AMZN,2550,100
Sebastian J. Gunningham,,AMAZON.COM INC,,157.5,725,57.035,882.5,939.535,27.157,-93.963,064768,2008,MALE,60,AMZN,2550,17.8470255
Marc A. Onetto,,AMAZON.COM INC,,157.5,733.333,2.875,890.833,893.708,5,-62.658,064768,2008,MALE,72,AMZN,2550,17.68008145
H. Brian Valentine,,AMAZON.COM INC,,157.5,333.333,3.15,490.833,493.983,5,-66.005,064768,2008,MALE,63,AMZN,2550,32.08830702
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1700,81.84,1781.84,0,39.006,064768,2009,MALE,59,AMZN,2550,100
Jeffrey A. Wilke,,AMAZON.COM INC,,160,0,3.45,160,,,,064768,2009,MALE,56,AMZN,2550,100
Diego Piacentini,,AMAZON.COM INC,,175,0,55.905,175,230.905,0,,064768,2009,MALE,62,AMZN,2550,100
Thomas J. Szkutak,CFO,AMAZON.COM INC,,160,0,3.2,160,163.2,1.587,-97.867,064768,2009,MALE,62,AMZN,2550,100
Sebastian J. Gunningham,,AMAZON.COM INC,,160,100,179.887,260,439.887,1.587,-53.18,064768,2009,MALE,60,AMZN,2550,61.53846154
Shelley L. Reynolds,,AMAZON.COM INC,,160,0,3.2,160,613.432,,,064768,2009,FEMALE,58,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1600,81.84,1681.84,0,-5.612,064768,2010,MALE,59,AMZN,2550,100
Jeffrey A. Wilke,,AMAZON.COM INC,,160,0,3.2,160,7190.7,0,,064768,2010,MALE,56,AMZN,2550,100
Diego Piacentini,,AMAZON.COM INC,,175,0,55.905,175,6696.205,0,2799.983,064768,2010,MALE,62,AMZN,2550,100
Thomas J. Szkutak,CFO,AMAZON.COM INC,,160,0,3.2,160,6628.5,0,3961.581,064768,2010,MALE,62,AMZN,2550,100
Andrew R. Jassy,,AMAZON.COM INC,,160,0,3.2,160,6628.5,,,064768,2010,MALE,55,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1600,81.84,1681.84,0,0,064768,2011,MALE,59,AMZN,2550,100
Jeffrey A. Wilke,,AMAZON.COM INC,,165,0,3.2,165,168.2,3.125,-97.661,064768,2011,MALE,56,AMZN,2550,100
Diego Piacentini,,AMAZON.COM INC,,175,0,55.905,175,230.905,0,-96.552,064768,2011,MALE,62,AMZN,2550,100
Thomas J. Szkutak,CFO,AMAZON.COM INC,,160,0,3.2,160,163.2,0,-97.538,064768,2011,MALE,62,AMZN,2550,100
H. Brian Valentine,,AMAZON.COM INC,,160,0,3.564,160,163.564,,,064768,2011,MALE,63,AMZN,2550,100
Andrew R. Jassy,,AMAZON.COM INC,,160,0,3.2,160,,0,,064768,2011,MALE,55,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1600,81.84,1681.84,0,0,064768,2012,MALE,59,AMZN,2550,100
Jeffrey A. Wilke,,AMAZON.COM INC,,165,0,3.367,165,17727.806,0,10439.718,064768,2012,MALE,56,AMZN,2550,100
Diego Piacentini,,AMAZON.COM INC,,175,0,55.905,175,11819.223,0,5018.652,064768,2012,MALE,62,AMZN,2550,100
Thomas J. Szkutak,CFO,AMAZON.COM INC,,160,0,3.2,160,8451.369,0,5078.535,064768,2012,MALE,62,AMZN,2550,100
Andrew R. Jassy,,AMAZON.COM INC,,160,0,3.2,160,11611.68,0,,064768,2012,MALE,55,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1600,81.84,1681.84,0,0,064768,2013,MALE,59,AMZN,2550,100
Jeffrey A. Wilke,,AMAZON.COM INC,,165,0,3.325,165,168.325,0,-99.051,064768,2013,MALE,56,AMZN,2550,100
Diego Piacentini,,AMAZON.COM INC,,175,0,55.905,175,230.905,0,-98.046,064768,2013,MALE,62,AMZN,2550,100
Thomas J. Szkutak,CFO,AMAZON.COM INC,,160,0,3.2,160,163.2,0,-98.069,064768,2013,MALE,62,AMZN,2550,100
Andrew R. Jassy,,AMAZON.COM INC,,160,0,3.2,160,163.2,0,-98.595,064768,2013,MALE,55,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1600,81.84,1681.84,0,0,064768,2014,MALE,59,AMZN,2550,100
Jeffrey A. Wilke,,AMAZON.COM INC,,165,0,3.3,165,8516.049,0,4959.289,064768,2014,MALE,56,AMZN,2550,100
Diego Piacentini,,AMAZON.COM INC,,175,0,55.905,175,6866.364,0,2873.675,064768,2014,MALE,62,AMZN,2550,100
Thomas J. Szkutak,CFO,AMAZON.COM INC,,160,0,3.2,160,5962.307,0,3553.374,064768,2014,MALE,62,AMZN,2550,100
Andrew R. Jassy,,AMAZON.COM INC,,160,0,3.2,160,7664.868,0,4596.61,064768,2014,MALE,55,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1600,81.84,1681.84,0,0,064768,2015,MALE,59,AMZN,2550,100
Jeffrey A. Wilke,,AMAZON.COM INC,,172.509,0,3.45,172.509,175.959,4.551,-97.934,064768,2015,MALE,56,AMZN,2550,100
Diego Piacentini,,AMAZON.COM INC,,175,0,55.905,175,230.905,0,-96.637,064768,2015,MALE,62,AMZN,2550,100
Thomas J. Szkutak,,AMAZON.COM INC,,71.566,0,1.431,71.566,72.997,-55.271,-98.776,064768,2015,MALE,62,AMZN,2550,100
Andrew R. Jassy,,AMAZON.COM INC,,171.25,0,3.425,171.25,174.675,7.031,-97.721,064768,2015,MALE,55,AMZN,2550,100
Brian T. Olsavsky,CFO,AMAZON.COM INC,,160,0,3.2,160,7786.573,,,064768,2015,MALE,59,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1600,81.84,1681.84,0,0,064768,2016,MALE,59,AMZN,2550,100
Jeffrey A. Wilke,,AMAZON.COM INC,,175,0,3.5,175,32958.114,1.444,18630.565,064768,2016,MALE,56,AMZN,2550,100
Diego Piacentini,,AMAZON.COM INC,,110.326,0,35.166,110.326,23730.63,-36.957,10177.227,064768,2016,MALE,62,AMZN,2550,100
Andrew R. Jassy,,AMAZON.COM INC,,175,0,3.5,175,35609.644,2.19,20286.228,064768,2016,MALE,55,AMZN,2550,100
Brian T. Olsavsky,CFO,AMAZON.COM INC,,160,0,3.2,160,4558.647,0,-41.455,064768,2016,MALE,59,AMZN,2550,100
Jeffrey M. Blackburn,,AMAZON.COM INC,,171.25,0,3.425,171.25,22194.343,,,064768,2016,MALE,53,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1600,81.84,1681.84,0,0,064768,2017,MALE,59,AMZN,2550,100
Jeffrey A. Wilke,,AMAZON.COM INC,,175,0,9.781,175,184.781,0,-99.439,064768,2017,MALE,56,AMZN,2550,100
Andrew R. Jassy,,AMAZON.COM INC,,175,0,19.447,175,194.447,0,-99.454,064768,2017,MALE,55,AMZN,2550,100
Brian T. Olsavsky,CFO,AMAZON.COM INC,,160,0,3.2,160,163.2,0,-96.42,064768,2017,MALE,59,AMZN,2550,100
Jeffrey M. Blackburn,,AMAZON.COM INC,,175,0,3.5,175,178.5,2.19,-99.196,064768,2017,MALE,53,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1600,81.84,1681.84,0,0,064768,2018,MALE,59,AMZN,2550,100
Jeffrey A. Wilke,,AMAZON.COM INC,,175,0,80.613,175,19722.047,0,10573.201,064768,2018,MALE,56,AMZN,2550,100
Andrew R. Jassy,,AMAZON.COM INC,,175,0,91.232,175,19732.666,0,10048.095,064768,2018,MALE,55,AMZN,2550,100
Brian T. Olsavsky,CFO,AMAZON.COM INC,,160,0,3.2,160,6933.349,0,4148.376,064768,2018,MALE,59,AMZN,2550,100
Jeffrey M. Blackburn,,AMAZON.COM INC,,175,0,3.5,175,10399.662,0,5726.141,064768,2018,MALE,53,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1600,81.84,1681.84,0,0,064768,2019,MALE,59,AMZN,2550,100
Jeffrey A. Wilke,,AMAZON.COM INC,,175,0,35.725,175,210.725,0,-98.932,064768,2019,MALE,56,AMZN,2550,100
Andrew R. Jassy,,AMAZON.COM INC,,175,0,173.809,175,348.809,0,-98.232,064768,2019,MALE,55,AMZN,2550,100
Brian T. Olsavsky,CFO,AMAZON.COM INC,,160,0,3.2,160,163.2,0,-97.646,064768,2019,MALE,59,AMZN,2550,100
Jeffrey M. Blackburn,,AMAZON.COM INC,,175,0,48.5,175,57796.739,0,455.756,064768,2019,MALE,53,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1600,81.84,1681.84,0,0,064768,2020,MALE,59,AMZN,2550,100
Andrew R. Jassy,,AMAZON.COM INC,,175,0,34.381,175,35848.449,0,10177.386,064768,2020,MALE,55,AMZN,2550,100
Brian T. Olsavsky,CFO,AMAZON.COM INC,,160,0,3.2,160,17174.185,0,10423.398,064768,2020,MALE,59,AMZN,2550,100
David H. Clark,,AMAZON.COM INC,,160,0,6.783,160,46288.671,,,064768,2020,MALE,50,AMZN,2550,100
David A. Zapolsky,,AMAZON.COM INC,,160,0,3.2,160,17174.185,,,064768,2020,MALE,59,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,81.84,0,1600,81.84,1681.84,0,0,064768,2021,MALE,59,AMZN,2550,100
Andrew R. Jassy,,AMAZON.COM INC,,175,0,592.649,175,212701.169,0,493.334,064768,2021,MALE,55,AMZN,2550,100
Brian T. Olsavsky,CFO,AMAZON.COM INC,,160,0,3.2,160,163.2,0,-99.05,064768,2021,MALE,59,AMZN,2550,100
David H. Clark,,AMAZON.COM INC,,175,0,310.451,175,56074.571,9.375,21.141,064768,2021,MALE,50,AMZN,2550,100
David A. Zapolsky,,AMAZON.COM INC,,160,0,3.2,160,163.2,0,-99.05,064768,2021,MALE,59,AMZN,2550,100
Adam N. Selipsky,,AMAZON.COM INC,,109.722,0,49.045,109.722,81453.523,,,064768,2021,MALE,56,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,,81.84,0,1600,81.84,1681.84,0,0,064768,2022,MALE,59,AMZN,2550,100
Andrew R. Jassy,,AMAZON.COM INC,CEO,317.5,0,981.223,317.5,1298.723,81.429,-99.389,064768,2022,MALE,55,AMZN,2550,100
Brian T. Olsavsky,CFO,AMAZON.COM INC,,313.75,0,6.1,313.75,18181.043,96.094,11040.345,064768,2022,MALE,59,AMZN,2550,100
David A. Zapolsky,,AMAZON.COM INC,,313.75,0,6.1,313.75,18181.043,96.094,11040.345,064768,2022,MALE,59,AMZN,2550,100
Adam N. Selipsky,,AMAZON.COM INC,,317.5,0,43.113,317.5,41113.295,189.368,-49.525,064768,2022,MALE,56,AMZN,2550,100
Douglas J. Herrington,,AMAZON.COM INC,,309.997,0,25.441,309.997,43215.779,,,064768,2022,MALE,56,AMZN,2550,100
Jen-Hsun Huang,,NVIDIA CORP,,149.134,0,0,149.134,149.134,,,117768,1997,MALE,61,NVDA,4530,100
Jeffrey D. Fisher,,NVIDIA CORP,,202.122,0,0,202.122,,,,117768,1997,MALE,,NVDA,4530,100
Chris A. Malachowsky,,NVIDIA CORP,,135.721,0,0,135.721,135.721,,,117768,1997,MALE,,NVDA,4530,100
Curtis R. Priem,,NVIDIA CORP,,133.125,0,0,133.125,133.125,,,117768,1997,MALE,,NVDA,4530,100
Jen-Hsun Huang,,NVIDIA CORP,,257.692,200,2.697,457.692,1839.017,72.792,1133.131,117768,1998,MALE,61,NVDA,4530,56.30249163
Jeffrey D. Fisher,,NVIDIA CORP,,198.683,0,0,198.683,528.498,-1.701,,117768,1998,MALE,,NVDA,4530,100
Christine B. Hoberg,,NVIDIA CORP,,30.384,0,0,30.384,,,,117768,1998,FEMALE,,NVDA,4530,100
Chris A. Malachowsky,,NVIDIA CORP,,183.461,0,2.505,183.461,1047.608,35.175,671.883,117768,1998,MALE,,NVDA,4530,100
Curtis R. Priem,,NVIDIA CORP,,180,0,3.792,180,1045.434,35.211,685.303,117768,1998,MALE,,NVDA,4530,100
Jen-Hsun Huang,,NVIDIA CORP,CEO,300,300,0,600,600,16.418,-67.374,117768,1999,MALE,61,NVDA,4530,50
Jeffrey D. Fisher,,NVIDIA CORP,,418.25,23.6,2.357,441.85,675.294,110.511,27.776,117768,1999,MALE,,NVDA,4530,94.65882087
Christine B. Hoberg,,NVIDIA CORP,,200,15.71,0,215.71,215.71,558.241,,117768,1999,FEMALE,,NVDA,4530,92.71707385
Chris A. Malachowsky,,NVIDIA CORP,,191.25,19.7,0,210.95,210.95,4.246,-79.864,117768,1999,MALE,,NVDA,4530,90.66129415
Curtis R. Priem,,NVIDIA CORP,,180,8.7,0,188.7,188.7,0,-81.95,117768,1999,MALE,,NVDA,4530,95.38950715
Jen-Hsun Huang,,NVIDIA CORP,CEO,400,400,0,800,12419.759,33.333,1969.96,117768,2000,MALE,61,NVDA,4530,50
Jeffrey D. Fisher,,NVIDIA CORP,,399.558,42.083,0,441.641,2707.511,-4.469,300.938,117768,2000,MALE,,NVDA,4530,90.47121984
Christine B. Hoberg,,NVIDIA CORP,,200,102.083,0,302.083,1509.053,0,599.575,117768,2000,FEMALE,,NVDA,4530,66.20696961
Chris A. Malachowsky,,NVIDIA CORP,,209,84.583,0,293.583,2183.206,9.281,934.94,117768,2000,MALE,,NVDA,4530,71.18940811
Curtis R. Priem,,NVIDIA CORP,,197.316,69.583,0,266.899,991.081,9.62,425.215,117768,2000,MALE,,NVDA,4530,73.92908928
Daniel F. Vivoli,,NVIDIA CORP,,187.965,70,0,257.965,,,,117768,2000,MALE,,NVDA,4530,72.86453589
Jen-Hsun Huang,,NVIDIA CORP,CEO,400,400,0,800,15063.704,0,21.288,117768,2001,MALE,61,NVDA,4530,50
Jeffrey D. Fisher,,NVIDIA CORP,,302.308,237.5,0,539.808,2536.727,-24.339,-6.308,117768,2001,MALE,,NVDA,4530,56.0028751
Christine B. Hoberg,,NVIDIA CORP,,200,0,0,200,3623.289,0,140.103,117768,2001,FEMALE,,NVDA,4530,100
Chris A. Malachowsky,,NVIDIA CORP,,240,80,0,320,3743.289,14.833,71.458,117768,2001,MALE,,NVDA,4530,75
Daniel F. Vivoli,,NVIDIA CORP,,240.66,126,0,366.66,,28.034,,117768,2001,MALE,,NVDA,4530,65.63573883
Di Ma,,NVIDIA CORP,,226.404,126,0,352.404,,,,117768,2001,MALE,,NVDA,4530,64.24558178
Jen-Hsun Huang,,NVIDIA CORP,CEO,400.763,0,0,400.763,7834.567,0.191,-47.99,117768,2002,MALE,61,NVDA,4530,100
Jeffrey D. Fisher,,NVIDIA CORP,,300.875,0,0,300.875,1414.766,-0.474,-44.229,117768,2002,MALE,,NVDA,4530,100
Marvin D. Burkett,,NVIDIA CORP,,137.769,124.5,0,262.269,3295.789,,,117768,2002,MALE,82,NVDA,4530,52.52965467
David M. Shannon,,NVIDIA CORP,,128.989,350,0,478.989,2692.931,,,117768,2002,MALE,68,NVDA,4530,26.92942844
Daniel F. Vivoli,,NVIDIA CORP,,242.518,0,0,242.518,1356.409,0.772,,117768,2002,MALE,,NVDA,4530,100
Di Ma,,NVIDIA CORP,,225.413,0,0,225.413,,-0.438,,117768,2002,MALE,,NVDA,4530,100
Jen-Hsun Huang,,NVIDIA CORP,CEO,400,412,0,812,2810.519,-0.19,-64.127,117768,2003,MALE,61,NVDA,4530,49.26108374
Jeffrey D. Fisher,,NVIDIA CORP,,300,193.28,0,493.28,1154.446,-0.291,-18.4,117768,2003,MALE,,NVDA,4530,60.81738566
Marvin D. Burkett,,NVIDIA CORP,,300,368.78,0,668.78,668.78,117.756,-79.708,117768,2003,MALE,82,NVDA,4530,44.85780077
David M. Shannon,,NVIDIA CORP,,250,140.711,0,390.711,390.711,93.815,-85.491,117768,2003,MALE,68,NVDA,4530,63.98591286
Daniel F. Vivoli,,NVIDIA CORP,,240,140.711,0,380.711,,-1.038,,117768,2003,MALE,,NVDA,4530,63.03994368
Di Ma,,NVIDIA CORP,,225,166.966,0,391.966,1053.132,-0.183,,117768,2003,MALE,,NVDA,4530,57.40293801
Jen-Hsun Huang,,NVIDIA CORP,CEO,400,480,0,880,4479.765,0,59.393,117768,2004,MALE,61,NVDA,4530,45.45454545
Jeffrey D. Fisher,,NVIDIA CORP,,300,150,0,450,1809.19,0,56.715,117768,2004,MALE,,NVDA,4530,66.66666667
Marvin D. Burkett,,NVIDIA CORP,,300,180,0,480,2009.089,0,200.411,117768,2004,MALE,82,NVDA,4530,62.5
David M. Shannon,,NVIDIA CORP,,250,120,0,370,1389.393,0,255.606,117768,2004,MALE,68,NVDA,4530,67.56756757
Daniel F. Vivoli,,NVIDIA CORP,,240,100,0,340,,0,,117768,2004,MALE,,NVDA,4530,70.58823529
Di Ma,,NVIDIA CORP,,243.643,125,0,368.643,1897.732,8.286,80.199,117768,2004,MALE,,NVDA,4530,66.09185581
Jen-Hsun Huang,,NVIDIA CORP,CEO,516.513,1246.98,0,1763.493,5877.497,29.128,31.201,117768,2005,MALE,61,NVDA,4530,29.28920047
Jeffrey D. Fisher,,NVIDIA CORP,,301.154,306.37,0,607.524,1502.3,0.385,-16.963,117768,2005,MALE,,NVDA,4530,49.57071655
Marvin D. Burkett,,NVIDIA CORP,,355.574,405.026,0,760.6,2251.889,18.525,12.085,117768,2005,MALE,82,NVDA,4530,46.74914541
David M. Shannon,,NVIDIA CORP,,304.805,299.058,0,603.863,1647.771,21.922,18.596,117768,2005,MALE,68,NVDA,4530,50.47585297
Daniel F. Vivoli,,NVIDIA CORP,,275.133,219.246,0,494.379,1538.287,14.639,,117768,2005,MALE,,NVDA,4530,55.65224251
Jen-Hsun Huang,,NVIDIA CORP,CEO,500,0,0,500,5997.375,-3.197,2.04,117768,2006,MALE,61,NVDA,4530,100
Marvin D. Burkett,CFO,NVIDIA CORP,,425,0,0,425,2816.538,19.525,25.074,117768,2006,MALE,82,NVDA,4530,100
David M. Shannon,,NVIDIA CORP,,300,0,0,300,1824.375,-1.576,10.718,117768,2006,MALE,68,NVDA,4530,100
Ajay K. Puri,,NVIDIA CORP,,300,75,6.372,375,711.222,,,117768,2006,MALE,69,NVDA,4530,80
